year	county	totalpop	totalto	turnout	totalvr	votecenter	cumulative	election	constitutional	midterm	presidential	median_inc	bachelor_higher	Election	County	medianinc_rec	totalpop_rec
2012	"Brooks"	7303	2430	0.369	6580	0	0	"Presidential"	0	0	1	21445	0.095	3	24	2.1445	0.007303
2018	"Rains"	11237	4406	0.57459575	7668	0	0	"Midterm/Gubernatorial"	0	1	0	46733	0.12	2	190	4.6733	0.011237
2011	"Brooks"	7272	117	0.0176791	6618	0	0	"Constitutional"	1	0	0	19936	0.105	1	24	1.9936	0.007272
2009	"Aransas"	23291	1858	0.1203212	15442	0	0	"Constitutional"	1	0	0	41172	0.234	1	4	4.1172	0.023291
2010	"McLennan"	234906	54836	0.4304475	127393	0	0	"Midterm/Gubernatorial"	0	1	0	40672	0.206	2	161	4.0672	0.234906
2017	"Nolan"	14334	696	0.0808362	8610	0	0	"Constitutional"	1	0	0	46175	0.133	1	177	4.6175	0.014334
2010	"Moore"	21904	3492	0.3622783	9639	0	0	"Midterm/Gubernatorial"	0	1	0	44216	0.137	2	171	4.4216	0.021904
2016	"Franklin"	10757	4381	0.64417	6801	0	0	"Presidential"	0	0	1	42652	0.19	3	80	4.2652	0.010757
2016	"Blanco"	11403	5816	0.7235631	8038	0	0	"Presidential"	0	0	1	56573	0.288	3	16	5.6573	0.011403
2009	"Martin"	4710	277	0.0961806	2880	0	0	"Constitutional"	1	0	0	37463	0.121	1	156	3.7463	0.00471
2017	"Hansford"	5520	159	0.053	3000	0	0	"Constitutional"	1	0	0	40940	0.159	1	98	4.094	0.00552
2009	"Glasscock"	1224	153	0.2110345	725	0	0	"Constitutional"	1	0	0	54000	0.118	1	87	5.4	0.001224
2012	"Nacogdoches"	65753	20794	0.7084114	29353	0	0	"Presidential"	0	0	1	35641	0.245	3	174	3.5641	0.065753
2014	"Hardeman"	3933	669	0.2606155	2567	0	0	"Midterm/Gubernatorial"	0	1	0	37656	0.189	2	99	3.7656	0.003933
2017	"Jeff Davis"	2354	200	0.1190476	1680	0	0	"Constitutional"	1	0	0	47368	0.363	1	122	4.7368	0.002354
2010	"Potter"	121073	16039	0.3026569	52994	0	0	"Midterm/Gubernatorial"	0	1	0	36766	0.15	2	188	3.6766	0.121073
2012	"Callahan"	13616	5324	0.6154202	8651	0	0	"Presidential"	0	0	1	46812	0.173	3	30	4.6812	0.013616
2015	"Tarrant"	2000000	92840	0.0926096	1000000	0	0	"Constitutional"	1	0	0	58711	0.303	1	220	5.8711	2.0
2018	"Reeves"	14642	2398	0.33827057	7089	0	0	"Midterm/Gubernatorial"	0	1	0	52386	0.08	2	195	5.2386	0.014642
2010	"Willacy"	22134	2533	0.226951	11161	0	0	"Midterm/Gubernatorial"	0	1	0	22881	0.086	2	245	2.2881	0.022134
2012	"Tom Green"	111983	36720	0.6129296	59909	0	0	"Presidential"	0	0	1	44310	0.215	3	226	4.431	0.111983
2015	"Starr"	63072	407	0.0135409	30057	0	0	"Constitutional"	1	0	0	26172	0.091	1	214	2.6172	0.063072
2013	"Webb"	266443	10084	0.0907561	111111	0	0	"Constitutional"	1	0	0	39449	0.172	1	240	3.9449	0.266443
2011	"Cherokee"	51298	1078	0.0410901	26235	0	0	"Constitutional"	1	0	0	37758	0.119	1	37	3.7758	0.051298
2018	"Lavaca"	19739	7737	0.5846305	13234	0	0	"Midterm/Gubernatorial"	0	1	0	60008	0.19	2	143	6.0008	0.019739
2017	"Armstrong"	1869	123	0.08742	1407	0	0	"Constitutional"	1	0	0	65833	0.236	1	6	6.5833	0.001869
2016	"Comal"	134668	63136	0.683401	92385	0	0	"Presidential"	0	0	1	69666	0.345	3	46	6.9666	0.134668
2015	"Chambers"	39041	3195	0.1264695	25263	0	0	"Constitutional"	1	0	0	70544	0.187	1	36	7.0544	0.039041
2015	"Hardin"	57641	2079	0.0570887	36417	0	0	"Constitutional"	1	0	0	52614	0.154	1	100	5.2614	0.057641
2011	"Rusk"	53806	4765	0.1601734	29749	0	0	"Constitutional"	1	0	0	46438	0.136	1	201	4.6438	0.053806
2013	"Caldwell"	39231	1822	0.0906242	20105	0	0	"Constitutional"	1	0	0	44152	0.157	1	28	4.4152	0.039231
2017	"Hemphill"	3928	187	0.0810928	2306	0	0	"Constitutional"	1	0	0	69222	0.227	1	106	6.9222	0.003928
2011	"Upshur"	39851	703	0.027401	25656	0	0	"Constitutional"	1	0	0	46734	0.149	1	230	4.6734	0.039851
2011	"Jones"	20289	971	0.0999588	9714	0	0	"Constitutional"	1	0	0	37872	0.094	1	127	3.7872	0.020289
2011	"Comal"	112171	9115	0.1244437	73246	0	0	"Constitutional"	1	0	0	65521	0.326	1	46	6.5521	0.112171
2010	"San Saba"	6131	1791	0.4806763	3726	0	0	"Midterm/Gubernatorial"	0	1	0	36308	0.181	2	206	3.6308	0.006131
2016	"Presidio"	7518	2023	0.4215462	4799	0	0	"Presidential"	0	0	1	33453	0.25	3	189	3.3453	0.007518
2014	"Runnels"	10411	2353	0.3567854	6595	0	0	"Midterm/Gubernatorial"	0	1	0	38684	0.137	2	200	3.8684	0.010411
2013	"Medina"	48095	1680	0.0615204	27308	0	0	"Constitutional"	1	0	0	55326	0.2	1	163	5.5326	0.048095
2014	"Menard"	2251	486	0.3166124	1535	0	0	"Midterm/Gubernatorial"	0	1	0	34091	0.192	2	164	3.4091	0.002251
2009	"Childress"	7030	331	0.0929253	3562	0	0	"Constitutional"	1	0	0	34953	0.103	1	38	3.4953	0.00703
2011	"Haskell"	5919	246	0.0675082	3644	0	0	"Constitutional"	1	0	0	39578	0.129	1	104	3.9578	0.005919
2014	"Caldwell"	39466	8910	0.4200255	21213	0	0	"Midterm/Gubernatorial"	0	1	0	47435	0.156	2	28	4.7435	0.039466
2012	"Polk"	45985	19184	0.5239955	36611	0	0	"Presidential"	0	0	1	37194	0.12	3	187	3.7194	0.045985
2010	"Parmer"	10269	1678	0.3606276	4653	0	0	"Midterm/Gubernatorial"	0	1	0	39753	0.157	2	185	3.9753	0.010269
2016	"Cooke"	39545	16111	0.6422051	25087	0	0	"Presidential"	0	0	1	56269	0.216	3	49	5.6269	0.039545
2012	"Freestone"	20173	7660	0.688787	11121	0	0	"Presidential"	0	0	1	45510	0.129	3	81	4.551	0.020173
2013	"Grimes"	27596	960	0.0647773	14820	0	0	"Constitutional"	1	0	0	43994	0.111	1	93	4.3994	0.027596
2016	"Upton"	3573	1349	0.6011586	2244	0	0	"Presidential"	0	0	1	48220	0.099	3	231	4.822	0.003573
2011	"Floyd"	6445	230	0.0534511	4303	0	0	"Constitutional"	1	0	0	35967	0.173	1	77	3.5967	0.006445
2015	"Childress"	6937	1325	0.3767415	3517	0	0	"Constitutional"	1	0	0	36633	0.167	1	38	3.6633	0.006937
